fundos,setor,preco_atual,p_vp,dy_12m_media,pl,quantidade_ativos,R$1.000,R$10.000,R$100.000
RBRL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"89,69","0,85","0,76%","703.113.124,45",6,"R$ 7,60","R$ 76,00","R$ 760,00"
LGCP11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 86,24","0,85","0,76%","293.814.056,79",5,"R$ 7,80","R$ 78,00","R$ 780,00"
ITIT11,FUNDO DE FUNDOS,"R$ 79,95","0,92","0,76%","78.674.097,77",0,"R$ 7,80","R$ 78,00","R$ 780,00"
NVHO11,HOSPITALAR,"10,95","0,78","0,78%","580.731.605,94",4,"R$ 7,80","R$ 78,00","R$ 780,00"
XPCM11,LAJES CORPORATIVAS,"R$ 11,99","0,29","0,78%","100.994.615,18",1,"R$ 7,90","R$ 79,00","R$ 790,00"
XPML11,SHOPPINGS,"R$ 114,66",1,"0,78%","3.050.727.984,48",12,"R$ 7,90","R$ 79,00","R$ 790,00"
CPFF11,FUNDO DE FUNDOS,"R$ 77,53","0,92","0,79%","214.439.976,69",0,"R$ 7,90","R$ 79,00","R$ 790,00"
HGRU11,MISTO,"R$ 136,00","1,1","0,79%","2.276.329.312,59",71,"R$ 7,90","R$ 79,00","R$ 790,00"
EDFO11B,LAJES CORPORATIVAS,"R$ 196,98","1,09","0,79%","42.649.779,25",1,"R$ 7,90","R$ 79,00","R$ 790,00"
EURO11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 249,49","0,77","0,79%","124.864.282,06",7,"R$ 7,90","R$ 79,00","R$ 790,00"
EVBI11,MISTO,"R$ 97,49","0,99","0,79%","211.079.442,48",6,"R$ 8,00","R$ 80,00","R$ 800,00"
SNID11,FUNDO DE DESENVOLVIMENTO,"R$ 101,18",N/A,"0,79%",N/A,0,"R$ 8,00","R$ 80,00","R$ 800,00"
KNIP11,PAPÉIS,"R$ 92,64","0,93","0,80%","7.984.130.494,79",0,"R$ 8,00","R$ 80,00","R$ 800,00"
FIGS11,SHOPPINGS,"R$ 61,19","0,81","0,80%","216.457.542,22",2,"R$ 8,10","R$ 81,00","R$ 810,00"
RBIF11,FUNDO DE DESENVOLVIMENTO,"99,99",N/A,"0,80%",N/A,0,"R$ 8,10","R$ 81,00","R$ 810,00"
CCRF11,PAPÉIS,"R$ 98,67",1,"0,81%","154.570.326,66",0,"R$ 8,10","R$ 81,00","R$ 810,00"
PQAG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 56,99",1,"0,81%","799.051.682,53",1,"R$ 8,10","R$ 81,00","R$ 810,00"
VVPR11,MISTO,"R$ 101,50","1,04","0,81%","226.032.234,18",6,"R$ 8,10","R$ 81,00","R$ 810,00"
HSLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 94,92","0,91","0,81%","1.320.614.382,99",5,"R$ 8,20","R$ 82,00","R$ 820,00"
SNFF11,FUNDO DE FUNDOS,"R$ 91,48","0,98","0,81%","265.411.251,95",0,"R$ 8,20","R$ 82,00","R$ 820,00"
BCFF11,FUNDO DE FUNDOS,"R$ 75,13","0,97","0,82%","1.950.882.562,14",1,"R$ 8,20","R$ 82,00","R$ 820,00"
CXRI11,FUNDO DE FUNDOS,"82,02","0,9","0,82%","144.265.006,25",0,"R$ 8,30","R$ 83,00","R$ 830,00"
OULG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 41,50","0,61","0,82%","167.821.953,20",2,"R$ 8,30","R$ 83,00","R$ 830,00"
LASC11,SHOPPINGS,"102,49",1,"0,83%","300.224.466,00",2,"R$ 8,30","R$ 83,00","R$ 830,00"
TRXF11,IMÓVEIS COMERCIAIS - OUTROS,"R$ 113,18","1,07","0,83%","1.271.774.618,80",30,"R$ 8,30","R$ 83,00","R$ 830,00"
HSML11,SHOPPINGS,"R$ 95,29",1,"0,83%","1.503.214.578,48",7,"R$ 8,40","R$ 84,00","R$ 840,00"
PATL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 72,87","0,74","0,83%","491.662.611,58",5,"R$ 8,40","R$ 84,00","R$ 840,00"
RCFF11,FUNDO DE FUNDOS,"83,01","0,89","0,84%","30.044.060,32",0,"R$ 8,40","R$ 84,00","R$ 840,00"
HGFF11,FUNDO DE FUNDOS,"R$ 88,86","0,94","0,84%","269.584.670,63",0,"R$ 8,40","R$ 84,00","R$ 840,00"
XPIN11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 83,77","0,81","0,84%","740.570.598,23",98,"R$ 8,50","R$ 85,00","R$ 850,00"
FAMB11B,LAJES CORPORATIVAS,"R$ 800,00","0,28","0,84%","309.002.614,25",1,"R$ 8,50","R$ 85,00","R$ 850,00"
RNGO11,LAJES CORPORATIVAS,"R$ 46,01","0,53","0,85%","231.625.120,49",4,"R$ 8,50","R$ 85,00","R$ 850,00"
FVPQ11,SHOPPINGS,"R$ 125,44","0,65","0,85%","538.683.307,17",1,"R$ 8,50","R$ 85,00","R$ 850,00"
TRBL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 100,25","1,05","0,85%","612.048.658,06",5,"R$ 8,60","R$ 86,00","R$ 860,00"
DPRO11,INDEFINIDO,"R$ 94,69","0,98","0,85%","35.963.741,09",1,"R$ 8,60","R$ 86,00","R$ 860,00"
SDIL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 96,50","1,01","0,86%","612.048.658,06",5,"R$ 8,60","R$ 86,00","R$ 860,00"
BTAL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 90,09","0,86","0,86%","625.743.281,02",9,"R$ 8,60","R$ 86,00","R$ 860,00"
RBRD11,VAREJO,"37,67","0,57","0,86%","122.601.610,47",4,"R$ 8,60","R$ 86,00","R$ 860,00"
MGFF11,FUNDO DE FUNDOS,"R$ 68,30","0,9","0,86%","684.494.404,32",0,"R$ 8,60","R$ 86,00","R$ 860,00"
MFAI11,FUNDO DE FUNDOS,"R$ 67,07","0,9","0,86%","27.420.997,56",0,"R$ 8,70","R$ 87,00","R$ 870,00"
HFOF11,FUNDO DE FUNDOS,"R$ 79,79","0,95","0,86%","1.926.871.672,10",0,"R$ 8,70","R$ 87,00","R$ 870,00"
RBRF11,FUNDO DE FUNDOS,"R$ 87,15","0,98","0,87%","1.211.192.224,53",0,"R$ 8,70","R$ 87,00","R$ 870,00"
BCIA11,FUNDO DE FUNDOS,"R$ 102,15","0,93","0,87%","409.523.791,73",0,"R$ 8,70","R$ 87,00","R$ 870,00"
CRFF11,FUNDO DE FUNDOS,"82,03","0,91","0,87%","62.362.307,70",0,"R$ 8,70","R$ 87,00","R$ 870,00"
PQDP11,SHOPPINGS,"R$ 1.950,01","0,62","0,87%","766.101.130,08",1,"R$ 8,80","R$ 88,00","R$ 880,00"
GGRC11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 116,92","1,03","0,87%","925.167.589,35",17,"R$ 8,80","R$ 88,00","R$ 880,00"
NSLU11,HOSPITALAR,"R$ 193,14","0,97","0,88%","258.052.426,33",1,"R$ 8,80","R$ 88,00","R$ 880,00"
BTCI11,PAPÉIS,"R$ 9,72","0,94","0,88%","1.024.811.117,16",0,"R$ 8,80","R$ 88,00","R$ 880,00"
VIFI11,FUNDO DE FUNDOS,"R$ 8,48","0,9","0,88%","76.239.072,37",0,"R$ 8,80","R$ 88,00","R$ 880,00"
ZAVI11,INDEFINIDO,"129,21","0,96","0,88%","158.659.136,14",9,"R$ 8,80","R$ 88,00","R$ 880,00"
FIIP11B,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 173,91","0,86","0,88%","188.411.207,67",7,"R$ 8,90","R$ 89,00","R$ 890,00"
KFOF11,FUNDO DE FUNDOS,"R$ 96,60","0,98","0,88%","448.300.299,85",0,"R$ 8,90","R$ 89,00","R$ 890,00"
NCRI11,PAPÉIS,"8,98","0,87","0,89%","40.634.429,35",0,"R$ 8,90","R$ 89,00","R$ 890,00"
MORE11,FUNDO DE FUNDOS,"R$ 77,28","0,9","0,89%","198.130.030,65",0,"R$ 8,90","R$ 89,00","R$ 890,00"
FATN11,LAJES CORPORATIVAS,"R$ 93,96","0,94","0,89%","126.308.555,55",31,"R$ 9,00","R$ 90,00","R$ 900,00"
VCJR11,PAPÉIS,"R$ 91,78","0,95","0,89%","1.425.367.434,14",0,"R$ 9,00","R$ 90,00","R$ 900,00"
RECT11,LAJES CORPORATIVAS,"48,95","0,53","0,90%","790.437.095,33",9,"R$ 9,00","R$ 90,00","R$ 900,00"
VCRR11,IMÓVEIS RESIDENCIAIS,"77,39","0,6","0,90%","256.768.437,00",0,"R$ 9,00","R$ 90,00","R$ 900,00"
BREV11,LAJES CORPORATIVAS,"R$ 107,95","0,92","0,90%","113.858.045,70",13,"R$ 9,10","R$ 91,00","R$ 910,00"
HGIC11,PAPÉIS,"R$ 110,62","0,88","0,90%","57.875.912,12",0,"R$ 9,10","R$ 91,00","R$ 910,00"
KISU11,FUNDO DE FUNDOS,"R$ 8,71","0,94","0,91%","408.493.347,60",0,"R$ 9,10","R$ 91,00","R$ 910,00"
MAXR11,VAREJO,"R$ 74,05","0,6","0,91%","138.814.486,46",8,"R$ 9,10","R$ 91,00","R$ 910,00"
GALG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 9,13",1,"0,91%","526.075.325,12",5,"R$ 9,10","R$ 91,00","R$ 910,00"
KDIF11,FUNDO DE DESENVOLVIMENTO,"R$ 135,47",N/A,"0,91%",N/A,0,"R$ 9,20","R$ 92,00","R$ 920,00"
VTLT11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 96,08","0,95","0,91%","213.846.188,19",1,"R$ 9,20","R$ 92,00","R$ 920,00"
VSLH11,PAPÉIS,"R$ 3,62","0,35","0,92%","305.283.221,57",0,"R$ 9,30","R$ 93,00","R$ 930,00"
VSHO11,SHOPPINGS,"R$ 78,09","0,77","0,92%","212.838.822,52",3,"R$ 9,30","R$ 93,00","R$ 930,00"
RBFF11,FUNDO DE FUNDOS,"R$ 60,60","0,88","0,93%","259.410.163,47",0,"R$ 9,30","R$ 93,00","R$ 930,00"
KCRE11,INDEFINIDO,"98,37","0,94","0,93%","377.087.831,31",0,"R$ 9,40","R$ 94,00","R$ 940,00"
JFLL11,IMÓVEIS RESIDENCIAIS,"R$ 74,00","0,73","0,93%","151.483.911,60",2,"R$ 9,40","R$ 94,00","R$ 940,00"
QAGR11,INDEFINIDO,"R$ 50,51","0,88","0,94%","290.592.274,50",12,"R$ 9,40","R$ 94,00","R$ 940,00"
BLMR11,FUNDO DE FUNDOS,"R$ 7,23","0,89","0,94%","207.511.287,43",0,"R$ 9,40","R$ 94,00","R$ 940,00"
GCFF11,FUNDO DE FUNDOS,"R$ 69,30","0,89","0,94%","27.939.468,78",0,"R$ 9,50","R$ 95,00","R$ 950,00"
SARE11,MISTO,"R$ 54,75","0,58","0,94%","872.840.322,36",3,"R$ 9,50","R$ 95,00","R$ 950,00"
BPFF11,FUNDO DE FUNDOS,"R$ 72,88","0,93","0,95%","351.989.535,10",0,"R$ 9,50","R$ 95,00","R$ 950,00"
KNSC11,PAPÉIS,"R$ 90,88","0,99","0,95%","1.216.887.495,27",0,"R$ 9,50","R$ 95,00","R$ 950,00"
CORM11,LAJES CORPORATIVAS,N/A,N/A,"0,95%",N/A,0,"R$ 9,50","R$ 95,00","R$ 950,00"
BTRA11,INDEFINIDO,"R$ 72,45","0,61","0,95%","400.439.049,61",5,"R$ 9,50","R$ 95,00","R$ 950,00"
CPTS11,PAPÉIS,"R$ 89,63","0,99","0,95%","2.891.181.369,43",0,"R$ 9,60","R$ 96,00","R$ 960,00"
VIUR11,MISTO,"8,41","0,93","0,95%","244.201.443,22",8,"R$ 9,60","R$ 96,00","R$ 960,00"
TORD11,MISTO,"R$ 2,45","0,19","0,96%","441.080.668,28",1,"R$ 9,60","R$ 96,00","R$ 960,00"
FEXC11,PAPÉIS,"R$ 83,50","0,1","0,96%","1.001.470.167,13",0,"R$ 9,60","R$ 96,00","R$ 960,00"
ASMT11,LAJES CORPORATIVAS,"R$ 48,51","0,58","0,96%","85.699.208,49",3,"R$ 9,60","R$ 96,00","R$ 960,00"
MGCR11,PAPÉIS,"R$ 9,40","0,96","0,96%","131.240.792,97",0,"R$ 9,60","R$ 96,00","R$ 960,00"
KNHF11,INDEFINIDO,"104,8","1,02","0,96%","1.032.565.601,21",0,"R$ 9,60","R$ 96,00","R$ 960,00"
SNLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 31,90","0,5","0,96%","119.765.997,95",2,"R$ 9,60","R$ 96,00","R$ 960,00"
CXAG11,AGÊNCIAS DE BANCOS,"R$ 82,64","0,72","0,96%","241.567.834,64",32,"R$ 9,70","R$ 97,00","R$ 970,00"
BIDB11,FUNDO DE DESENVOLVIMENTO,"R$ 88,22",N/A,"0,96%",N/A,0,"R$ 9,70","R$ 97,00","R$ 970,00"
NEWL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 104,20","0,88","0,97%","239.636.392,56",3,"R$ 9,70","R$ 97,00","R$ 970,00"
GLOG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 68,32","0,64","0,97%","79.755.095,60",1,"R$ 9,70","R$ 97,00","R$ 970,00"
VGIP11,PAPÉIS,"R$ 92,63","0,99","0,97%","1.103.693.956,74",0,"R$ 9,70","R$ 97,00","R$ 970,00"
RBRR11,PAPÉIS,"R$ 90,99","0,96","0,97%","1.270.081.176,60",0,"R$ 9,70","R$ 97,00","R$ 970,00"
RECX11,FUNDO DE FUNDOS,"R$ 68,95","0,9","0,97%","16.740.110,32",0,"R$ 9,80","R$ 98,00","R$ 980,00"
MGLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 40,99","0,55","0,97%","116.088.485,68",2,"R$ 9,80","R$ 98,00","R$ 980,00"
GTWR11,LAJES CORPORATIVAS,"R$ 85,44","0,9","0,98%","1.140.706.652,02",3,"R$ 9,80","R$ 98,00","R$ 980,00"
RFOF11,FUNDO DE FUNDOS,"R$ 80,09","0,96","0,98%","90.246.354,50",0,"R$ 9,80","R$ 98,00","R$ 980,00"
BBFO11,FUNDO DE FUNDOS,"R$ 74,21","0,9","0,98%","331.238.334,63",0,"R$ 9,80","R$ 98,00","R$ 980,00"
RVBI11,FUNDO DE FUNDOS,"R$ 84,99","0,98","0,98%","125.506.186,92",0,"R$ 9,80","R$ 98,00","R$ 980,00"
IRDM11,PAPÉIS,"R$ 83,97","0,94","0,98%","3.262.073.283,21",0,"R$ 9,80","R$ 98,00","R$ 980,00"
BMLC11,LAJES CORPORATIVAS,"R$ 105,07","0,95","0,98%","110.629.236,31",2,"R$ 9,80","R$ 98,00","R$ 980,00"
HCTR11,PAPÉIS,"R$ 46,00","0,41","0,98%","2.469.351.365,39",0,"R$ 9,90","R$ 99,00","R$ 990,00"
KNHY11,PAPÉIS,"R$ 101,84","0,99","0,98%","1.904.351.220,09",0,"R$ 10,00","R$ 100,00","R$ 1.000,00"
IFRA11,FUNDO DE DESENVOLVIMENTO,"R$ 104,74",N/A,"0,99%",N/A,0,"R$ 10,00","R$ 100,00","R$ 1.000,00"
RBED11,EDUCACIONAL,"137,27","0,95","1,00%","339.946.038,11",7,"R$ 10,00","R$ 100,00","R$ 1.000,00"
BBPO11,AGÊNCIAS DE BANCOS,96,"0,96","1,00%","1.589.187.534,13",63,"R$ 10,00","R$ 100,00","R$ 1.000,00"
BIME11,INDEFINIDO,"R$ 7,41","0,84","1,00%","51.644.433,24",2,"R$ 10,10","R$ 101,00","R$ 1.010,00"
CXCE11B,LAJES CORPORATIVAS,"R$ 42,20","0,65","1,00%","111.854.473,67",1,"R$ 10,10","R$ 101,00","R$ 1.010,00"
BCRI11,PAPÉIS,"R$ 71,40","0,72","1,01%","619.928.797,11",0,"R$ 10,10","R$ 101,00","R$ 1.010,00"
RZTR11,MISTO,"97,03",1,"1,01%","1.074.905.610,79",17,"R$ 10,10","R$ 101,00","R$ 1.010,00"
XPSF11,FUNDO DE FUNDOS,"R$ 8,57","0,97","1,01%","381.685.180,11",0,"R$ 10,10","R$ 101,00","R$ 1.010,00"
VRTA11,PAPÉIS,"R$ 90,82","0,96","1,01%","1.470.814.336,50",0,"R$ 10,10","R$ 101,00","R$ 1.010,00"
DVFF11,FUNDO DE FUNDOS,"R$ 85,97","0,89","1,01%","105.791.331,18",0,"R$ 10,10","R$ 101,00","R$ 1.010,00"
PLOG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 66,71","0,63","1,01%","79.648.071,76",1,"R$ 10,20","R$ 102,00","R$ 1.020,00"
RECR11,PAPÉIS,"R$ 89,55","0,93","1,01%","2.548.240.436,92",1,"R$ 10,20","R$ 102,00","R$ 1.020,00"
RELG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 55,55","0,45","1,02%","164.782.039,95",5,"R$ 10,20","R$ 102,00","R$ 1.020,00"
RZAT11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 90,16","0,9","1,02%","370.802.272,62",10,"R$ 10,20","R$ 102,00","R$ 1.020,00"
CVBI11,PAPÉIS,"R$ 94,50","0,98","1,02%","1.063.338.891,97",0,"R$ 10,20","R$ 102,00","R$ 1.020,00"
MATV11,INDEFINIDO,"R$ 86,63","0,92","1,02%","39.926.993,67",0,"R$ 10,30","R$ 103,00","R$ 1.030,00"
SPTW11,LAJES CORPORATIVAS,"R$ 41,15","0,73","1,02%","100.695.045,93",1,"R$ 10,30","R$ 103,00","R$ 1.030,00"
RBVA11,VAREJO,"R$ 110,65","1,02","1,03%","1.254.508.454,86",77,"R$ 10,30","R$ 103,00","R$ 1.030,00"
BARI11,PAPÉIS,"R$ 83,39","0,86","1,03%","451.240.748,31",0,"R$ 10,30","R$ 103,00","R$ 1.030,00"
BBRC11,AGÊNCIAS DE BANCOS,"R$ 116,76","1,08","1,03%","171.757.745,92",20,"R$ 10,30","R$ 103,00","R$ 1.030,00"
IRIM11,INDEFINIDO,"R$ 93,12","0,98","1,03%","182.511.074,50",0,"R$ 10,30","R$ 103,00","R$ 1.030,00"
FAED11,EDUCACIONAL,"R$ 164,20","0,75","1,03%","139.756.822,13",3,"R$ 10,30","R$ 103,00","R$ 1.030,00"
XPCI11,PAPÉIS,"87,74","0,93","1,03%","824.443.352,07",0,"R$ 10,40","R$ 104,00","R$ 1.040,00"
CPTI11,FUNDO DE DESENVOLVIMENTO,"R$ 102,89",N/A,"1,03%",N/A,0,"R$ 10,40","R$ 104,00","R$ 1.040,00"
CEOC11,LAJES CORPORATIVAS,"R$ 51,55","0,66","1,04%","142.200.308,68",1,"R$ 10,40","R$ 104,00","R$ 1.040,00"
ALZR11,MISTO,"R$ 116,87","1,1","1,04%","1.049.505.903,99",13,"R$ 10,40","R$ 104,00","R$ 1.040,00"
CXCI11,INDEFINIDO,"90,11","0,92","1,04%","200.740.763,05",0,"R$ 10,40","R$ 104,00","R$ 1.040,00"
ITIP11,PAPÉIS,"R$ 78,25","1,01","1,04%","58.226.271,75",0,"R$ 10,40","R$ 104,00","R$ 1.040,00"
CXCO11,LAJES CORPORATIVAS,"79,85","0,81","1,04%","388.964.047,75",10,"R$ 10,50","R$ 105,00","R$ 1.050,00"
DEVA11,PAPÉIS,"49,69","0,52","1,04%","1.351.401.436,46",0,"R$ 10,50","R$ 105,00","R$ 1.050,00"
ARCT11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 87,13","0,87","1,05%","371.534.654,03",9,"R$ 10,50","R$ 105,00","R$ 1.050,00"
ALZM11,FUNDO DE FUNDOS,"R$ 93,00","1,01","1,05%","63.914.467,84",0,"R$ 10,50","R$ 105,00","R$ 1.050,00"
SNCI11,PAPÉIS,"99,89","1,01","1,05%","415.451.792,74",0,"R$ 10,50","R$ 105,00","R$ 1.050,00"
BLMG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 60,95","0,7","1,05%","333.768.702,70",1,"R$ 10,50","R$ 105,00","R$ 1.050,00"
HOSI11,IMÓVEIS RESIDENCIAIS,"67,59","0,73","1,05%","52.891.698,49",0,"R$ 10,50","R$ 105,00","R$ 1.050,00"
MXRF11,PAPÉIS,"R$ 10,86","1,09","1,05%","2.592.330.747,84",3,"R$ 10,50","R$ 105,00","R$ 1.050,00"
SPXS11,INDEFINIDO,"102,31","1,06","1,05%","119.290.463,55",0,"R$ 10,50","R$ 105,00","R$ 1.050,00"
FPAB11,LAJES CORPORATIVAS,"R$ 203,01","0,54","1,05%","280.814.619,03",2,"R$ 10,60","R$ 106,00","R$ 1.060,00"
BLMC11,PAPÉIS,"R$ 82,45","0,82","1,05%","40.097.779,50",0,"R$ 10,80","R$ 108,00","R$ 1.080,00"
JSAF11,FUNDO DE FUNDOS,"R$ 98,33","0,98","1,06%","157.665.900,22",0,"R$ 10,80","R$ 108,00","R$ 1.080,00"
OUFF11,FUNDO DE FUNDOS,"R$ 73,75","0,94","1,08%","142.277.064,19",3,"R$ 10,80","R$ 108,00","R$ 1.080,00"
HREC11,PAPÉIS,"R$ 84,28","0,9","1,08%","482.876.556,27",0,"R$ 10,80","R$ 108,00","R$ 1.080,00"
QAMI11,PAPÉIS,"R$ 79,71","0,85","1,08%","75.449.690,86",0,"R$ 10,90","R$ 109,00","R$ 1.090,00"
BODB11,INDEFINIDO,"9,71",N/A,"1,08%",N/A,0,"R$ 10,90","R$ 109,00","R$ 1.090,00"
SEQR11,MISTO,"R$ 65,67","0,7","1,09%","150.425.119,96",4,"R$ 11,00","R$ 110,00","R$ 1.100,00"
AFHI11,PAPÉIS,"R$ 97,25","1,01","1,09%","289.711.187,37",0,"R$ 11,00","R$ 110,00","R$ 1.100,00"
MCCI11,PAPÉIS,"R$ 96,10",1,"1,10%","1.626.591.564,89",0,"R$ 11,10","R$ 111,00","R$ 1.110,00"
HGAG11,INDEFINIDO,"R$ 25,00","1,47","1,10%","5.731.825,70",0,"R$ 11,10","R$ 111,00","R$ 1.110,00"
HSAF11,PAPÉIS,"R$ 85,19","0,91","1,11%","236.702.698,81",0,"R$ 11,10","R$ 111,00","R$ 1.110,00"
GAME11,INDEFINIDO,"R$ 9,28","0,93","1,11%","216.606.162,93",0,"R$ 11,10","R$ 111,00","R$ 1.110,00"
NAVT11,PAPÉIS,"R$ 90,66","0,94","1,11%","101.895.545,43",0,"R$ 11,10","R$ 111,00","R$ 1.110,00"
AIEC11,LAJES CORPORATIVAS,"R$ 67,20","0,71","1,11%","456.945.283,72",2,"R$ 11,20","R$ 112,00","R$ 1.120,00"
HTMX11,HOTÉIS,"R$ 138,60","1,01","1,11%","206.160.754,38",23,"R$ 11,20","R$ 112,00","R$ 1.120,00"
APTO11,IMÓVEIS RESIDENCIAIS,"9,88","0,94","1,12%","42.128.729,72",4,"R$ 11,20","R$ 112,00","R$ 1.120,00"
FLCR11,PAPÉIS,"96,95","0,98","1,12%","62.640.460,13",0,"R$ 11,30","R$ 113,00","R$ 1.130,00"
VGHF11,MISTO,"R$ 9,57","1,02","1,12%","686.848.266,32",0,"R$ 11,30","R$ 113,00","R$ 1.130,00"
MANA11,INDEFINIDO,"R$ 9,70","0,98","1,13%","193.050.632,43",0,"R$ 11,30","R$ 113,00","R$ 1.130,00"
PORD11,PAPÉIS,"R$ 90,00","0,92","1,13%","365.594.845,54",0,"R$ 11,30","R$ 113,00","R$ 1.130,00"
BTCR11,PAPÉIS,"R$ 88,00","0,92","1,13%","458.252.683,73",0,"R$ 11,30","R$ 113,00","R$ 1.130,00"
JURO11,FUNDO DE DESENVOLVIMENTO,"R$ 107,79",N/A,"1,13%",N/A,0,"R$ 11,40","R$ 114,00","R$ 1.140,00"
MCHF11,PAPÉIS,"R$ 9,36","0,98","1,13%","309.582.364,03",0,"R$ 11,40","R$ 114,00","R$ 1.140,00"
IBCR11,PAPÉIS,"R$ 76,89","0,79","1,14%","92.854.574,52",0,"R$ 11,50","R$ 115,00","R$ 1.150,00"
HGCR11,PAPÉIS,"R$ 106,99","1,03","1,14%","1.598.887.163,80",0,"R$ 11,50","R$ 115,00","R$ 1.150,00"
BTAG11,INDEFINIDO,"R$ 95,77",N/A,"1,15%",N/A,0,"R$ 11,60","R$ 116,00","R$ 1.160,00"
HCHG11,PAPÉIS,"R$ 79,30","0,82","1,15%","116.507.246,83",0,"R$ 11,60","R$ 116,00","R$ 1.160,00"
KNCR11,PAPÉIS,"R$ 99,10","0,98","1,16%","5.758.807.700,20",0,"R$ 11,60","R$ 116,00","R$ 1.160,00"
MFII11,FUNDO DE DESENVOLVIMENTO,94,"0,93","1,16%","429.837.983,35",8,"R$ 11,60","R$ 116,00","R$ 1.160,00"
RRCI11,PAPÉIS,"R$ 82,42","0,89","1,16%","44.731.027,28",0,"R$ 11,60","R$ 116,00","R$ 1.160,00"
RURA11,MISTO,"R$ 10,48",N/A,"1,16%",N/A,0,"R$ 11,60","R$ 116,00","R$ 1.160,00"
SADI11,PAPÉIS,"R$ 87,30","0,92","1,16%","147.342.238,32",0,"R$ 11,70","R$ 117,00","R$ 1.170,00"
TGAR11,FUNDO DE DESENVOLVIMENTO,"123,19","1,04","1,16%","1.626.948.102,10",8,"R$ 11,70","R$ 117,00","R$ 1.170,00"
BBFI11B,LAJES CORPORATIVAS,"R$ 991,00","0,46","1,17%","279.197.329,42",2,"R$ 11,80","R$ 118,00","R$ 1.180,00"
VOTS11,PAPÉIS,"R$ 82,56","0,88","1,17%","77.851.965,30",0,"R$ 11,80","R$ 118,00","R$ 1.180,00"
RBRY11,PAPÉIS,"R$ 101,69","1,03","1,18%","548.266.353,36",0,"R$ 11,80","R$ 118,00","R$ 1.180,00"
GCRI11,PAPÉIS,"R$ 89,47","0,93","1,18%","139.469.473,13",0,"R$ 11,80","R$ 118,00","R$ 1.180,00"
CYCR11,INDEFINIDO,"9,33","0,95","1,18%","160.669.268,87",0,"R$ 11,80","R$ 118,00","R$ 1.180,00"
MORC11,PAPÉIS,92,"0,92","1,18%","189.941.494,30",0,"R$ 11,80","R$ 118,00","R$ 1.180,00"
MGHT11,HOTÉIS,"64,78","0,74","1,18%","114.995.993,58",1,"R$ 11,90","R$ 119,00","R$ 1.190,00"
WSEC11,INDEFINIDO,"R$ 86,55","0,86","1,18%","24.675.438,15",0,"R$ 11,90","R$ 119,00","R$ 1.190,00"
PLCR11,PAPÉIS,"R$ 91,21","0,98","1,19%","196.200.010,00",0,"R$ 11,90","R$ 119,00","R$ 1.190,00"
HCRI11,HOSPITALAR,"R$ 299,64","0,97","1,19%","61.655.370,00",1,"R$ 12,00","R$ 120,00","R$ 1.200,00"
PLCA11,INDEFINIDO,"R$ 90,00","0,88","1,19%","52.908.566,97",0,"R$ 12,10","R$ 121,00","R$ 1.210,00"
BROF11,LAJES CORPORATIVAS,"R$ 67,10","0,63","1,20%","1.232.813.903,40",2,"R$ 12,10","R$ 121,00","R$ 1.210,00"
KNCA11,INDEFINIDO,"R$ 105,71","1,05","1,21%","1.441.823.009,54",0,"R$ 12,10","R$ 121,00","R$ 1.210,00"
SNAG11,PAPÉIS,"10,40","0,1","1,21%","302.563.337,00",0,"R$ 12,10","R$ 121,00","R$ 1.210,00"
RINV11,INDEFINIDO,"111,05","1,01","1,21%","33.025.681,79",0,"R$ 12,20","R$ 122,00","R$ 1.220,00"
LIFE11,IMÓVEIS COMERCIAIS - OUTROS,"R$ 10,07","0,99","1,21%","225.803.060,11",0,"R$ 12,20","R$ 122,00","R$ 1.220,00"
