fundos,setor,preco_atual,p_vp,dy_12m_media,pl,quantidade_ativos,R$1.000,R$10.000,R$100.000
CPFO11,FUNDO DE FUNDOS,N/A,N/A,N/A,"89.099.931,59",0,#VALUE!,#VALUE!,#VALUE!
CSMC11,INDEFINIDO,N/A,N/A,"0,00%","551.123.998,20",5,"R$ 0,00","R$ 0,00","R$ 0,00"
CVPR11,INDEFINIDO,N/A,N/A,"0,00%","14.081.160,90",0,"R$ 0,00",,
DLMT11,VAREJO,N/A,N/A,"0,00%","8.509.714,12",5,"R$ 0,00",,
EQIA11,FIAGRO,N/A,N/A,N/A,N/A,0,#VALUE!,#VALUE!,#VALUE!
ERCR11,VAREJO,"R$ 76.000,00","1,33",N/A,"135.700.836,15",0,#VALUE!,#VALUE!,#VALUE!
EXES11,INDEFINIDO,"R$ 88,00","0,95","0,00%","44.225.425,80",0,"R$ 0,00","R$ 0,00","R$ 0,00"
FISC11,LAJES CORPORATIVAS,"R$ 165,00","1,43","0,00%","195.865.393,97",5,"R$ 0,00","R$ 0,00","R$ 0,00"
FRHY11,INDEFINIDO,N/A,N/A,"0,00%","9.021.142,22",0,"R$ 0,00","R$ 0,00","R$ 0,00"
GCOI11,N/A,N/A,N/A,"0,00%",N/A,0,"R$ 0,00","R$ 0,00","R$ 0,00"
GESE11B,EDUCACIONAL,"R$ 1.520,00","0,86","0,00%","91.597.974,62",1,"R$ 0,00","R$ 0,00","R$ 0,00"
GTLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 63,99","1,06",N/A,"434.811.690,70",5,#VALUE!,#VALUE!,#VALUE!
HDEL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 106,09","1,25","0,00%","42.749.917,75",0,"R$ 0,00","R$ 0,00","R$ 0,00"
HILG11,INDEFINIDO,N/A,N/A,"0,00%","94.355.040,81",0,"R$ 0,00","R$ 0,00","R$ 0,00"
